FT	ID	AT	WT	ST	
8	2	3	0	5	
15	6	6	0	9	
16	7	6	0	10	
34	37	32	0	2	
47	32	30	0	17	
55	51	50	0	5	
61	47	43	0	18	
68	66	59	0	9	
68	67	59	0	9	
70	60	57	6	7	
71	69	62	0	9	
76	57	53	0	23	
76	54	50	0	26	
83	78	73	3	7	
92	85	83	0	9	
94	86	85	4	5	
95	84	81	0	14	
103	98	97	0	6	
104	89	88	10	6	
119	110	114	0	5	
121	97	97	3	21	
132	104	105	0	27	
136	116	124	0	12	
141	117	126	0	15	
148	122	129	0	19	
157	131	136	0	21	
163	138	146	0	17	
167	148	157	0	10	
171	151	158	0	13	
172	141	150	5	17	
173	129	134	0	39	
183	174	178	1	4	
183	165	169	7	7	
185	158	166	0	19	
188	180	181	2	5	
192	149	157	31	4	
192	152	159	0	33	
201	189	190	0	11	
201	161	168	0	33	
205	171	174	3	28	
209	181	182	13	14	
209	147	156	30	23	
220	194	196	0	24	
225	221	220	0	5	
229	217	217	0	12	
233	204	205	6	22	
234	210	208	14	12	
243	246	238	2	3	
244	239	234	0	10	
246	238	233	0	13	
254	222	220	11	23	
259	223	220	25	14	
266	241	234	0	32	
267	278	261	0	6	
271	252	247	0	24	
279	277	258	0	21	
280	294	277	0	3	
280	280	262	0	18	
285	247	238	38	9	
286	240	234	38	14	
289	293	277	5	7	
292	230	224	30	38	
301	291	277	18	6	
301	245	238	0	63	
303	300	285	9	9	
309	258	249	50	10	
314	312	298	0	16	
316	301	285	8	23	
322	334	320	0	2	
327	298	282	15	30	
329	260	251	67	11	
341	329	317	0	24	
351	333	320	19	12	
356	305	287	51	18	
357	362	354	0	3	
360	288	274	55	31	
364	360	351	0	13	
370	344	335	27	8	
372	379	367	0	5	
378	355	348	25	5	
387	359	351	26	10	
391	401	387	0	4	
393	364	356	0	37	
395	406	390	0	5	
397	400	386	0	11	
397	366	357	25	15	
402	373	367	23	12	
410	374	367	29	14	
411	415	397	0	14	
417	423	404	0	13	
418	427	409	0	9	
422	402	388	23	11	
425	437	421	0	4	
437	460	432	0	5	
439	428	413	19	7	
441	417	398	25	18	
441	416	397	16	28	
449	448	426	0	23	
450	478	447	0	3	
450	433	417	28	5	
451	466	438	0	13	
454	463	436	0	18	
466	482	459	0	7	
471	440	421	33	17	
475	454	429	29	17	
482	475	443	0	39	
485	497	474	0	11	
485	485	465	0	20	
493	457	430	57	6	
493	509	485	0	8	
494	492	468	0	26	
498	470	442	49	7	
504	521	493	2	9	
508	518	489	0	19	
513	526	498	0	15	
516	523	495	5	16	
523	541	515	0	8	
523	530	504	0	19	
523	471	442	62	19	
528	546	521	0	7	
539	487	466	0	73	
541	555	530	0	11	
542	488	466	61	15	
545	474	443	76	26	
553	551	527	0	26	
554	564	536	0	18	
561	489	467	74	20	
566	582	554	0	12	
566	573	547	0	19	
572	583	556	0	16	
574	567	541	0	33	
584	598	569	8	7	
586	588	559	12	15	
599	491	468	119	12	
599	597	567	13	19	
604	604	574	4	26	
608	584	556	14	38	
619	495	472	138	9	
624	505	484	133	7	
632	537	510	117	5	
643	548	525	105	13	
654	561	534	102	18	
665	576	550	95	20	
673	579	552	103	18	
678	581	553	118	7	
696	585	557	127	12	
700	589	561	123	16	

Region A:
	Orders: 147 [Norm:19, Froz:61, VIP:67]
	MotorC: 9  [Norm:5, Froz:3, VIP:1]
	Avg Wait = 17.8503,  Avg Serv = 15.3197
----------------------------------------------------------

FT	ID	AT	WT	ST	
6	3	4	0	2	
11	9	6	0	5	
13	1	2	0	11	
16	8	6	0	10	
23	16	13	0	10	
23	5	6	0	17	
24	23	19	0	5	
30	27	24	0	6	
30	10	6	0	24	
33	18	14	0	19	
37	17	13	0	24	
39	33	30	0	9	
46	43	40	0	6	
61	26	21	0	40	
62	65	58	0	4	
66	28	24	0	42	
68	70	63	0	5	
69	64	58	0	11	
80	79	75	0	5	
86	76	70	0	16	
98	93	93	0	5	
101	90	89	0	12	
110	99	97	0	13	
121	96	96	0	25	
124	109	113	0	11	
132	107	110	0	22	
135	114	123	0	12	
141	121	128	0	13	
144	130	134	0	10	
148	120	128	0	20	
150	139	146	0	4	
154	125	134	0	20	
156	136	141	0	15	
160	126	134	0	26	
162	145	153	0	9	
168	132	137	0	31	
172	163	168	0	4	
180	168	172	0	8	
184	176	179	0	5	
191	177	180	0	11	
194	186	188	0	6	
194	169	172	0	22	
196	184	188	0	8	
207	135	141	0	66	
210	203	204	0	6	
211	183	186	0	25	
213	209	207	0	6	
216	199	202	0	14	
216	193	193	0	23	
222	218	218	0	4	
226	205	206	0	20	
229	226	223	0	6	
229	198	199	0	30	
235	200	202	0	33	
236	231	225	0	11	
239	227	224	0	15	
244	206	206	23	15	
253	235	228	0	25	
256	248	240	0	16	
257	261	251	0	6	
257	257	248	0	9	
261	214	213	32	16	
265	271	256	2	7	
266	274	257	5	4	
266	272	256	2	8	
275	265	254	0	21	
279	284	269	0	10	
285	251	244	32	9	
285	289	275	0	10	
285	285	270	0	15	
291	262	252	0	39	
293	224	220	53	20	
297	308	289	0	8	
302	255	248	45	9	
